NT;R25;R75;TT;WT
414;-0.58;-0.53;33953;-0.549
420;-0.56;-0.53;32263;-0.547
417;-0.57;-0.53;33575;-0.549
441;-0.57;-0.54;36298;-0.553
427;-0.57;-0.54;35504;-0.552
420;-0.57;-0.54;34171;-0.554
430;-0.57;-0.54;35480;-0.553
432;-0.57;-0.54;36207;-0.555
455;-0.57;-0.54;33843;-0.552
526;-0.47;-0.44;37261;-0.451
486;-0.47;-0.44;33044;-0.45
489;-0.47;-0.44;34309;-0.451
464;-0.47;-0.44;33189;-0.449
461;-0.47;-0.44;32843;-0.45
479;-0.47;-0.44;36951;-0.451
494;-0.47;-0.44;36393;-0.45
463;-0.47;-0.44;31937;-0.45
474;-0.46;-0.44;32242;-0.449
477;-0.47;-0.44;35951;-0.45
481;-0.46;-0.44;35270;-0.449
487;-0.47;-0.44;39196;-0.449
465;-0.47;-0.44;39285;-0.448
452;-0.47;-0.44;38854;-0.45
482;-0.47;-0.44;40851;-0.451
495;-0.47;-0.44;40062;-0.45
425;-0.47;-0.44;33585;-0.45
422;-0.46;-0.44;32337;-0.449
474;-0.47;-0.44;38957;-0.449
507;-0.46;-0.37;50940;-0.427
473;-0.47;-0.44;40893;-0.45
506;-0.47;-0.44;46222;-0.453
489;-0.48;-0.44;45716;-0.454
422;-0.47;-0.44;40529;-0.452
417;-0.47;-0.44;40015;-0.451
484;-0.47;-0.44;41672;-0.451
471;-0.47;-0.44;39322;-0.451
457;-0.47;-0.44;38574;-0.449
467;-0.47;-0.44;40202;-0.452
484;-0.48;-0.44;42074;-0.454
486;-0.47;-0.44;40846;-0.452
501;-0.47;-0.44;40753;-0.452
469;-0.47;-0.44;36773;-0.452
476;-0.47;-0.44;37024;-0.451
464;-0.47;-0.44;36700;-0.449
471;-0.47;-0.43;37593;-0.448
470;-0.47;-0.44;35565;-0.449
466;-0.47;-0.44;34762;-0.449
467;-0.47;-0.44;33899;-0.45
469;-0.47;-0.44;34561;-0.449
479;-0.47;-0.44;37664;-0.451
482;-0.47;-0.44;38735;-0.452
489;-0.47;-0.44;39138;-0.452
478;-0.47;-0.44;39054;-0.452
479;-0.47;-0.44;38926;-0.452
501;-0.47;-0.44;37858;-0.451
471;-0.47;-0.44;36060;-0.45
466;-0.47;-0.44;37153;-0.451
477;-0.47;-0.44;36917;-0.45
458;-0.47;-0.44;35553;-0.45
485;-0.47;-0.44;39056;-0.452
465;-0.47;-0.44;39269;-0.452
459;-0.47;-0.44;37629;-0.45
470;-0.47;-0.44;39101;-0.45
477;-0.47;-0.44;41897;-0.452
479;-0.47;-0.44;38660;-0.45
462;-0.47;-0.44;37081;-0.45
431;-0.5;-0.43;32584;-0.459
478;-0.47;-0.44;35792;-0.451
473;-0.47;-0.44;34868;-0.449
481;-0.47;-0.44;34712;-0.45
483;-0.46;-0.44;37183;-0.449
467;-0.47;-0.44;36176;-0.45
416;-0.48;-0.44;31335;-0.451
427;-0.48;-0.44;33069;-0.45
478;-0.47;-0.44;35535;-0.449
480;-0.47;-0.44;38322;-0.45
454;-0.47;-0.44;34493;-0.449
492;-0.47;-0.44;38495;-0.452
508;-0.47;-0.44;39782;-0.452
513;-0.47;-0.44;41283;-0.449
353;-0.48;-0.44;30581;-0.455
435;-0.47;-0.44;32935;-0.45
494;-0.47;-0.44;38837;-0.449
496;-0.47;-0.44;39282;-0.45
498;-0.47;-0.44;39836;-0.451
496;-0.47;-0.44;38407;-0.451
465;-0.47;-0.44;36233;-0.448
370;-0.47;-0.44;28910;-0.45
396;-0.47;-0.44;30539;-0.448
488;-0.47;-0.44;38671;-0.448
414;-0.47;-0.44;36449;-0.45
405;-0.47;-0.44;35419;-0.451
478;-0.47;-0.44;39991;-0.45
529;-0.45;-0.37;51433;-0.43
518;-0.46;-0.44;41403;-0.448
514;-0.46;-0.44;40608;-0.449
504;-0.47;-0.44;38718;-0.449
488;-0.47;-0.44;40785;-0.45
506;-0.47;-0.44;41095;-0.449
503;-0.47;-0.44;41510;-0.45
509;-0.47;-0.43;42944;-0.448
494;-0.47;-0.44;40432;-0.45
495;-0.47;-0.44;40708;-0.451
495;-0.47;-0.44;41177;-0.45
502;-0.47;-0.44;43207;-0.45
415;-0.47;-0.44;33998;-0.455
407;-0.47;-0.44;32580;-0.454
507;-0.47;-0.44;42056;-0.451
522;-0.46;-0.44;40467;-0.448
445;-0.46;-0.44;35780;-0.448
460;-0.47;-0.44;37102;-0.449
445;-0.47;-0.44;37610;-0.45
476;-0.47;-0.44;40870;-0.449
474;-0.47;-0.44;39942;-0.449
464;-0.47;-0.44;35015;-0.449
472;-0.46;-0.44;38978;-0.448
509;-0.47;-0.44;39022;-0.45
514;-0.47;-0.44;37498;-0.45
525;-0.47;-0.44;38393;-0.451
524;-0.47;-0.44;40720;-0.453
543;-0.47;-0.44;40515;-0.452
552;-0.47;-0.44;44257;-0.452
543;-0.47;-0.44;41675;-0.451
543;-0.48;-0.44;40495;-0.451
535;-0.48;-0.44;39750;-0.451
542;-0.48;-0.44;40664;-0.452
533;-0.47;-0.44;39633;-0.448
534;-0.47;-0.44;38679;-0.449
465;-0.5;-0.44;33485;-0.458
517;-0.48;-0.44;36743;-0.451
520;-0.47;-0.44;36024;-0.448
519;-0.47;-0.44;37557;-0.449
528;-0.47;-0.44;37385;-0.449
537;-0.48;-0.44;38686;-0.451
523;-0.48;-0.44;37164;-0.451
544;-0.49;-0.44;39715;-0.452
568;-0.49;-0.44;40796;-0.453
544;-0.48;-0.44;38811;-0.451
539;-0.47;-0.44;37570;-0.448
540;-0.48;-0.44;39290;-0.451
532;-0.48;-0.44;38399;-0.451
543;-0.47;-0.44;42056;-0.451
511;-0.48;-0.44;39001;-0.45
491;-0.47;-0.44;35849;-0.448
515;-0.48;-0.44;35899;-0.45
533;-0.48;-0.44;36131;-0.449
511;-0.47;-0.44;33943;-0.448
490;-0.47;-0.44;32666;-0.45
485;-0.47;-0.44;30529;-0.449
496;-0.47;-0.44;31510;-0.449
493;-0.46;-0.44;30524;-0.447
496;-0.47;-0.44;31463;-0.449
514;-0.47;-0.44;34950;-0.452
491;-0.47;-0.44;32423;-0.448
486;-0.46;-0.44;31916;-0.448
513;-0.46;-0.37;42912;-0.432
478;-0.47;-0.44;33501;-0.448
491;-0.47;-0.44;36910;-0.451
468;-0.47;-0.44;31773;-0.449
473;-0.47;-0.44;31917;-0.45
477;-0.47;-0.44;34285;-0.449
498;-0.47;-0.44;35049;-0.449
510;-0.47;-0.44;37378;-0.449
501;-0.47;-0.44;36656;-0.449
501;-0.47;-0.44;37176;-0.449
509;-0.47;-0.44;37579;-0.451
526;-0.47;-0.44;39859;-0.45
542;-0.47;-0.44;42949;-0.451
527;-0.47;-0.44;41147;-0.45
517;-0.46;-0.44;37353;-0.449
522;-0.47;-0.44;37534;-0.449
509;-0.46;-0.44;36159;-0.449
497;-0.46;-0.44;36352;-0.449
487;-0.46;-0.44;35988;-0.448
489;-0.45;-0.44;36947;-0.448
478;-0.45;-0.44;34676;-0.448
496;-0.46;-0.44;37100;-0.449
500;-0.46;-0.44;37313;-0.449
501;-0.45;-0.44;35633;-0.448
501;-0.45;-0.44;37095;-0.448
495;-0.45;-0.44;36246;-0.448
508;-0.46;-0.44;35936;-0.449
497;-0.46;-0.44;37435;-0.448
495;-0.46;-0.44;36494;-0.449
497;-0.46;-0.44;35957;-0.449
502;-0.46;-0.44;36391;-0.449
518;-0.46;-0.44;38676;-0.45
518;-0.46;-0.44;39711;-0.45
503;-0.46;-0.44;39716;-0.449
486;-0.45;-0.44;36680;-0.449
470;-0.45;-0.44;33964;-0.448
224;-0.5;-0.42;16404;-0.464
434;-0.45;-0.44;28841;-0.448
467;-0.46;-0.44;30730;-0.448
366;-0.46;-0.44;25563;-0.449
400;-0.46;-0.44;27460;-0.449
497;-0.46;-0.44;34929;-0.449
498;-0.46;-0.44;34540;-0.449
489;-0.45;-0.44;37064;-0.448
486;-0.46;-0.44;34201;-0.449
486;-0.46;-0.44;34064;-0.448
479;-0.46;-0.44;34303;-0.449
476;-0.46;-0.44;35120;-0.45
466;-0.46;-0.44;35539;-0.45
482;-0.46;-0.44;37850;-0.45
469;-0.46;-0.44;36323;-0.449
461;-0.46;-0.44;36292;-0.449
468;-0.46;-0.44;36593;-0.449
479;-0.45;-0.44;37345;-0.447
470;-0.46;-0.44;36443;-0.449
458;-0.46;-0.44;31065;-0.449
458;-0.45;-0.44;32554;-0.448
467;-0.45;-0.44;32991;-0.448
469;-0.46;-0.44;35367;-0.448
459;-0.46;-0.44;34332;-0.448
461;-0.45;-0.44;34815;-0.448
483;-0.45;-0.44;36045;-0.447
471;-0.45;-0.44;36666;-0.448
479;-0.45;-0.44;37787;-0.448
476;-0.46;-0.44;37185;-0.449
476;-0.46;-0.44;36307;-0.449
515;-0.45;-0.37;46471;-0.435
477;-0.46;-0.44;36998;-0.448
483;-0.46;-0.44;37341;-0.449
492;-0.46;-0.44;37818;-0.45
462;-0.46;-0.44;34677;-0.449
490;-0.46;-0.44;38091;-0.448
491;-0.46;-0.44;38756;-0.448
487;-0.46;-0.44;39288;-0.45
482;-0.46;-0.44;37334;-0.449
477;-0.46;-0.44;38664;-0.449
418;-0.46;-0.44;34666;-0.449
383;-0.46;-0.44;30433;-0.449
462;-0.46;-0.44;37427;-0.449
471;-0.46;-0.44;35545;-0.449
456;-0.46;-0.44;35191;-0.448
428;-0.45;-0.44;32271;-0.448
465;-0.45;-0.44;36011;-0.448
461;-0.45;-0.44;34992;-0.448
460;-0.46;-0.44;34495;-0.449
459;-0.46;-0.44;34085;-0.448
456;-0.46;-0.44;34335;-0.449
461;-0.46;-0.44;34483;-0.449
442;-0.46;-0.44;33222;-0.449
